t,Fx_hat,Fy_hat,Fz_hat,force_mag,force_mag_ema,wz_obs,vx_cmd,vy_cmd,wz_cmd,compliance_mode
11.86,15.572009086608887,-6.69130802154541,6.51179313659668,18.156665802001953,18.191429138183594,-0.0,-0.0,-0.0,-0.0,off
11.88,15.560636520385742,-6.698031425476074,6.513160705566406,18.149885177612305,18.18721580505371,-0.0,-0.0,-0.0,-0.0,off
11.9,15.567302703857422,-6.648664951324463,6.522712230682373,18.14087677001953,18.182493209838867,-0.0,-0.0,-0.0,-0.0,off
11.92,15.582673072814941,-6.639873027801514,6.508825302124023,18.145864486694336,18.178749084472656,-0.0,-0.0,-0.0,-0.0,off
11.94,15.586384773254395,-6.603749752044678,6.504439830780029,18.134294509887695,18.17420768737793,-0.0,-0.0,-0.0,-0.0,off
11.96,15.599960327148438,-6.550848007202148,6.4939751625061035,18.12302589416504,18.168956756591797,-0.0,-0.0,-0.0,-0.0,off
11.98,15.600438117980957,-6.499513626098633,6.504491329193115,18.108720779418945,18.162769317626953,-0.0,-0.0,-0.0,-0.0,off
12.0,15.587414741516113,-6.463815689086914,6.51187801361084,18.087369918823242,18.155059814453125,-0.0,-0.0,-0.0,-0.0,off
12.02,15.576367378234863,-6.441805362701416,6.504623889923096,18.067378997802734,18.146137237548828,-0.0,-0.0,-0.0,-0.0,off
12.040000000000001,15.575735092163086,-6.385000228881836,6.514096260070801,18.05007553100586,18.136337280273438,-0.0,-0.0,-0.0,-0.0,off
12.06,15.547057151794434,-6.398489952087402,6.508738994598389,18.028182983398438,18.125391006469727,0.0,-0.0,-0.0,0.0,off
12.08,15.542631149291992,-6.390268325805664,6.50719690322876,18.020891189575195,18.11482810974121,0.0,-0.0,-0.0,0.0,off
12.1,15.549113273620605,-6.420520305633545,6.497759819030762,18.033824920654297,18.106660842895508,-0.0,-0.0,-0.0,-0.0,off
12.120000000000001,15.569231986999512,-6.421304225921631,6.493771076202393,18.050018310546875,18.10093879699707,-0.0,-0.0,-0.0,-0.0,off
12.14,15.582465171813965,-6.33791446685791,6.49430513381958,18.032148361206055,18.09393882751465,-0.0,-0.0,-0.0,-0.0,off
12.16,15.596087455749512,-6.280625343322754,6.480373859405518,18.018863677978516,18.086267471313477,-0.0,-0.0,-0.0,-0.0,off
12.18,15.574079513549805,-6.270108222961426,6.466904640197754,17.99130630493164,18.076637268066406,-0.0,-0.0,-0.0,-0.0,off
12.200000000000001,15.57321548461914,-6.265957832336426,6.457765579223633,17.985828399658203,18.06744384765625,-0.0,0.0,-0.0,-0.0,off
12.22,15.560347557067871,-6.254258155822754,6.457027912139893,17.970346450805664,18.057636260986328,0.0,0.0,-0.0,0.0,off
12.24,15.540411949157715,-6.253782749176025,6.461981296539307,17.95470428466797,18.047269821166992,-0.0,-0.0,-0.0,-0.0,off
12.26,15.54378604888916,-6.304253578186035,6.436096668243408,17.965974807739258,18.03911018371582,-0.0,-0.0,-0.0,-0.0,off
12.280000000000001,15.537148475646973,-6.29030704498291,6.442903518676758,17.957782745361328,18.030946731567383,-0.0,-0.0,-0.0,-0.0,off
12.3,15.52212142944336,-6.296998023986816,6.453400135040283,17.950899124145508,18.022924423217773,-0.0,-0.0,-0.0,-0.0,off
12.32,15.538718223571777,-6.280885219573975,6.4520487785339355,17.959125518798828,18.01651954650879,-0.0,0.0,-0.0,-0.0,off
12.34,15.525134086608887,-6.306850433349609,6.4368510246276855,17.95102310180664,18.009960174560547,-0.0,-0.0,-0.0,-0.0,off
12.36,15.518786430358887,-6.3488898277282715,6.426604747772217,17.956680297851562,18.004629135131836,-0.0,-0.0,-0.0,-0.0,off
12.38,15.507915496826172,-6.337663650512695,6.4373579025268555,17.947172164916992,17.998882293701172,-0.0,-0.0,-0.0,-0.0,off
12.4,15.511146545410156,-6.256411552429199,6.4473700523376465,17.925037384033203,17.991477966308594,-0.0,-0.0,-0.0,-0.0,off
12.42,15.511475563049316,-6.2519731521606445,6.453984260559082,17.9261531829834,17.98492431640625,-0.0,-0.0,-0.0,-0.0,off
12.44,15.510107040405273,-6.244796276092529,6.4643235206604,17.926193237304688,17.979032516479492,-0.0,-0.0,-0.0,-0.0,off
12.46,15.503211975097656,-6.236291408538818,6.474857330322266,17.92106819152832,17.973217010498047,-0.0,-0.0,-0.0,-0.0,off
12.48,15.492166519165039,-6.192081451416016,6.483587265014648,17.899330139160156,17.965789794921875,-0.0,-0.0,-0.0,-0.0,off
12.5,15.504644393920898,-6.152806758880615,6.486246585845947,17.897552490234375,17.95890998840332,-0.0,-0.0,-0.0,-0.0,off
12.52,15.516088485717773,-6.186830043792725,6.484591960906982,17.918588638305664,17.954849243164062,-0.0,-0.0,-0.0,-0.0,off
12.540000000000001,15.526331901550293,-6.139235496520996,6.5008769035339355,17.9169921875,17.95100975036621,-0.0,-0.0,-0.0,-0.0,off
12.56,15.520963668823242,-6.100330829620361,6.5122222900390625,17.903165817260742,17.94615364074707,-0.0,-0.0,-0.0,-0.0,off
12.58,15.508782386779785,-6.088305950164795,6.5079216957092285,17.886945724487305,17.940168380737305,-0.0,-0.0,-0.0,-0.0,off
12.6,15.50621223449707,-6.04772424697876,6.518752098083496,17.87489128112793,17.933557510375977,-0.0,0.0,-0.0,-0.0,off
12.620000000000001,15.497241020202637,-6.036101341247559,6.53651762008667,17.86966896057129,17.927085876464844,-0.0,-0.0,-0.0,-0.0,off
12.64,15.490577697753906,-6.015269756317139,6.541726589202881,17.858768463134766,17.920169830322266,-0.0,-0.0,-0.0,-0.0,off
12.66,15.485458374023438,-6.055471420288086,6.535950660705566,17.865798950195312,17.91469383239746,-0.0,-0.0,-0.0,-0.0,off
12.68,15.485424041748047,-6.059414863586426,6.550949573516846,17.87259864807129,17.91044807434082,-0.0,-0.0,-0.0,-0.0,off
12.700000000000001,15.487454414367676,-6.002950668334961,6.547552108764648,17.854049682617188,17.904748916625977,-0.0,-0.0,-0.0,-0.0,off
12.72,15.495282173156738,-5.9529218673706055,6.538984775543213,17.840946197509766,17.898284912109375,-0.0,-0.0,-0.0,-0.0,off
12.74,15.492703437805176,-5.923948287963867,6.532072067260742,17.82652473449707,17.891019821166992,-0.0,-0.0,-0.0,-0.0,off
12.76,15.486673355102539,-5.910171985626221,6.529777526855469,17.815868377685547,17.883420944213867,-0.0,-0.0,-0.0,-0.0,off
12.780000000000001,15.446856498718262,-5.879053592681885,6.546406269073486,17.77706527709961,17.872695922851562,-0.0,-0.0,-0.0,-0.0,off
12.8,15.43964672088623,-5.8616461753845215,6.557176113128662,17.76902198791504,17.862239837646484,-0.0,-0.0,-0.0,-0.0,off
12.82,15.437602996826172,-5.884574890136719,6.56140661239624,17.776384353637695,17.85359764099121,-0.0,0.0,-0.0,-0.0,off
12.84,15.432633399963379,-5.931783676147461,6.549999713897705,17.783552169799805,17.846572875976562,-0.0,-0.0,-0.0,-0.0,off
12.86,15.472071647644043,-5.920008659362793,6.53916072845459,17.80988883972168,17.84288215637207,-0.0,-0.0,-0.0,-0.0,off
12.88,15.485876083374023,-5.89276123046875,6.531019687652588,17.80986213684082,17.839550018310547,0.0,0.0,-0.0,0.0,off
12.9,15.50562858581543,-5.883591651916504,6.512787818908691,17.817338943481445,17.837295532226562,-0.0,-0.0,-0.0,-0.0,off
12.92,15.511180877685547,-5.905066967010498,6.501467227935791,17.82513999938965,17.8360595703125,-0.0,-0.0,-0.0,-0.0,off
12.94,15.507784843444824,-5.882248878479004,6.489628791809082,17.810319900512695,17.833459854125977,-0.0,-0.0,-0.0,-0.0,off
12.96,15.505842208862305,-5.856969833374023,6.502315044403076,17.80492401123047,17.83057403564453,-0.0,-0.0,-0.0,-0.0,off
12.98,15.492236137390137,-5.8876495361328125,6.5015387535095215,17.802915573120117,17.827796936035156,-0.0,-0.0,-0.0,-0.0,off
13.0,15.504839897155762,-5.847875118255615,6.508824825286865,17.80344009399414,17.825334548950195,-0.0,-0.0,-0.0,-0.0,off
13.02,15.490633010864258,-5.848868370056152,6.521490573883057,17.79603385925293,17.822385787963867,-0.0,-0.0,-0.0,-0.0,off
13.040000000000001,15.495308876037598,-5.8162455558776855,6.52301549911499,17.78997039794922,17.819114685058594,-0.0,-0.0,-0.0,-0.0,off
13.06,15.51657485961914,-5.813816547393799,6.512918949127197,17.804006576538086,17.81757354736328,-0.0,-0.0,-0.0,-0.0,off
13.08,15.512107849121094,-5.758760929107666,6.52162504196167,17.785398483276367,17.814300537109375,-0.0,-0.0,-0.0,-0.0,off
13.1,15.493988037109375,-5.774266242980957,6.525101184844971,17.775903701782227,17.810428619384766,-0.0,-0.0,-0.0,-0.0,off
13.120000000000001,15.487947463989258,-5.774121284484863,6.540812015533447,17.7763671875,17.80699348449707,-0.0,-0.0,-0.0,-0.0,off
13.14,15.487279891967773,-5.797194480895996,6.550119876861572,17.786718368530273,17.804950714111328,-0.0,-0.0,-0.0,-0.0,off
13.16,15.481886863708496,-5.758215427398682,6.555431365966797,17.771312713623047,17.801557540893555,-0.0,-0.0,-0.0,-0.0,off
13.18,15.490510940551758,-5.745866775512695,6.551158428192139,17.77325439453125,17.7987003326416,0.0,0.0,-0.0,0.0,off
13.200000000000001,15.4955415725708,-5.7509379386901855,6.528006553649902,17.770761489868164,17.79588508605957,-0.0,-0.0,-0.0,-0.0,off
13.22,15.487116813659668,-5.735344409942627,6.519168853759766,17.755126953125,17.79178810119629,-0.0,-0.0,-0.0,-0.0,off
13.24,15.484593391418457,-5.764331817626953,6.51427698135376,17.760517120361328,17.788652420043945,-0.0,0.0,-0.0,-0.0,off
13.26,15.492976188659668,-5.783401966094971,6.516157627105713,17.77471160888672,17.787256240844727,-0.0,0.0,-0.0,-0.0,off
13.280000000000001,15.48564338684082,-5.793858528137207,6.5184197425842285,17.77255630493164,17.785783767700195,-0.0,-0.0,-0.0,-0.0,off
13.3,15.504709243774414,-5.765979766845703,6.514806747436523,17.778785705566406,17.785079956054688,-0.0,-0.0,-0.0,-0.0,off
13.32,15.507562637329102,-5.736093044281006,6.531773567199707,17.77783203125,17.78434181213379,-0.0,0.0,-0.0,-0.0,off
13.34,15.528468132019043,-5.789377212524414,6.499575138092041,17.801536560058594,17.786056518554688,-0.0,-0.0,-0.0,-0.0,off
13.36,15.52527141571045,-5.790963649749756,6.49921178817749,17.799131393432617,17.78736114501953,-0.0,-0.0,-0.0,-0.0,off
13.38,15.523502349853516,-5.7633771896362305,6.485392093658447,17.783586502075195,17.786975860595703,-0.0,-0.0,-0.0,-0.0,off
13.4,15.529901504516602,-5.75789737701416,6.482264995574951,17.786258697509766,17.786895751953125,-0.0,-0.0,-0.0,-0.0,off
13.42,15.520130157470703,-5.768800735473633,6.479353904724121,17.780200958251953,17.78622055053711,-0.0,-0.0,-0.0,-0.0,off
13.44,15.503939628601074,-5.772426128387451,6.498971462249756,17.774410247802734,17.7850399017334,0.0,-0.0,-0.0,0.0,off
13.46,15.50776195526123,-5.8068528175354,6.485896587371826,17.7841796875,17.784950256347656,0.0,-0.0,-0.0,0.0,off
13.48,15.53853988647461,-5.758687973022461,6.49685525894165,17.79937744140625,17.786388397216797,-0.0,-0.0,-0.0,-0.0,off
13.5,15.528448104858398,-5.763459205627441,6.4921793937683105,17.790407180786133,17.786787033081055,-0.0,-0.0,-0.0,-0.0,off
13.52,15.510285377502441,-5.795472621917725,6.486636161804199,17.78293800354004,17.786399841308594,-0.0,-0.0,-0.0,-0.0,off
13.540000000000001,15.51986312866211,-5.813298225402832,6.472695350646973,17.792030334472656,17.786958694458008,-0.0,0.0,-0.0,-0.0,off
13.56,15.506929397583008,-5.76361608505249,6.477303981781006,17.76624870300293,17.78488540649414,-0.0,0.0,-0.0,-0.0,off
13.58,15.486668586730957,-5.7470383644104,6.503060817718506,17.752609252929688,17.781654357910156,-0.0,-0.0,-0.0,-0.0,off
13.6,15.489910125732422,-5.743868827819824,6.502796649932861,17.754314422607422,17.778919219970703,-0.0,-0.0,-0.0,-0.0,off
13.620000000000001,15.47435188293457,-5.767391681671143,6.498866558074951,17.746932983398438,17.77571678161621,-0.0,-0.0,-0.0,-0.0,off
13.64,15.49667739868164,-5.731586933135986,6.476923942565918,17.74679183959961,17.77281951904297,-0.0,-0.0,-0.0,-0.0,off
13.66,15.469425201416016,-5.76185941696167,6.4913153648376465,17.738075256347656,17.769346237182617,-0.0,-0.0,-0.0,-0.0,off
13.68,15.482084274291992,-5.793779373168945,6.477148532867432,17.754329681396484,17.767841339111328,-0.0,-0.0,-0.0,-0.0,off
13.700000000000001,15.477487564086914,-5.771888732910156,6.486440658569336,17.746583938598633,17.765714645385742,-0.0,0.0,-0.0,-0.0,off
13.72,15.488709449768066,-5.753669261932373,6.486743450164795,17.750568389892578,17.764198303222656,0.0,0.0,-0.0,0.0,off
13.74,15.487163543701172,-5.749509334564209,6.489177227020264,17.748762130737305,17.76265525817871,-0.0,0.0,-0.0,-0.0,off
13.76,15.484896659851074,-5.760653972625732,6.491546154022217,17.751262664794922,17.76151466369629,-0.0,0.0,-0.0,-0.0,off
13.780000000000001,15.47583293914795,-5.807277202606201,6.481858730316162,17.755008697509766,17.7608585357666,0.0,0.0,-0.0,0.0,off
13.8,15.463736534118652,-5.778597831726074,6.505518436431885,17.743762969970703,17.75914764404297,-0.0,-0.0,-0.0,-0.0,off
13.82,15.451881408691406,-5.780576705932617,6.508914470672607,17.735322952270508,17.75676155090332,-0.0,-0.0,-0.0,-0.0,off
13.84,15.442180633544922,-5.748138904571533,6.53253698348999,17.725013732910156,17.753578186035156,0.0,-0.0,-0.0,0.0,off
13.86,15.444002151489258,-5.78360652923584,6.530912399291992,17.737533569335938,17.75196647644043,0.0,-0.0,-0.0,0.0,off
13.88,15.446121215820312,-5.794211387634277,6.529830455780029,17.742441177368164,17.751008987426758,-0.0,-0.0,-0.0,-0.0,off
13.9,15.44737434387207,-5.781126022338867,6.5559306144714355,17.74888801574707,17.75078773498535,-0.0,-0.0,-0.0,-0.0,off
13.92,15.433268547058105,-5.737862586975098,6.593037128448486,17.736318588256836,17.749317169189453,-0.0,-0.0,-0.0,-0.0,off
13.94,15.453338623046875,-5.712378978729248,6.587396144866943,17.743471145629883,17.748708724975586,-0.0,-0.0,-0.0,-0.0,off
13.96,15.460132598876953,-5.678554058074951,6.5859856605529785,17.738006591796875,17.747610092163086,-0.0,-0.0,-0.0,-0.0,off
13.98,15.426905632019043,-5.635342121124268,6.611828804016113,17.704879760742188,17.743282318115234,-0.0,-0.0,-0.0,-0.0,off
14.0,15.423324584960938,-5.554610252380371,6.626280307769775,17.6816349029541,17.73701286315918,-0.0,-0.0,-0.0,-0.0,off
14.02,15.4301176071167,-5.506689548492432,6.625168323516846,17.67215347290039,17.730396270751953,-0.0,-0.0,-0.0,-0.0,off
14.040000000000001,15.43278980255127,-5.512662887573242,6.632311820983887,17.679027557373047,17.725156784057617,-0.0,-0.0,-0.0,-0.0,off
14.06,15.431591033935547,-5.54406213760376,6.6348652839660645,17.68875503540039,17.72145652770996,-0.0,-0.0,-0.0,-0.0,off
14.08,15.437431335449219,-5.527190208435059,6.631526470184326,17.687318801879883,17.71798324584961,-0.0,-0.0,-0.0,-0.0,off
14.1,15.437702178955078,-5.478926658630371,6.637918949127197,17.6749324798584,17.713592529296875,-0.0,-0.0,-0.0,-0.0,off
14.120000000000001,15.432965278625488,-5.4716339111328125,6.628117084503174,17.66485595703125,17.708646774291992,-0.0,-0.0,-0.0,-0.0,off
14.14,15.428665161132812,-5.434202671051025,6.645521640777588,17.656082153320312,17.703298568725586,-0.0,-0.0,-0.0,-0.0,off
14.16,15.425716400146484,-5.435702323913574,6.6272759437561035,17.647106170654297,17.697612762451172,-0.0,-0.0,-0.0,-0.0,off
14.18,15.412364959716797,-5.4574127197265625,6.618258953094482,17.638755798339844,17.691688537597656,-0.0,-0.0,-0.0,-0.0,off
14.200000000000001,15.406922340393066,-5.439273834228516,6.614320755004883,17.626916885375977,17.68517303466797,-0.0,-0.0,-0.0,-0.0,off
14.22,15.385241508483887,-5.440442085266113,6.613846778869629,17.608152389526367,17.677440643310547,-0.0,-0.0,-0.0,-0.0,off
14.24,15.394186019897461,-5.388532638549805,6.610252857208252,17.598655700683594,17.669509887695312,-0.0,-0.0,-0.0,-0.0,off
14.26,15.392913818359375,-5.362355709075928,6.621479511260986,17.593767166137695,17.6618709564209,-0.0,-0.0,-0.0,-0.0,off
14.280000000000001,15.389846801757812,-5.353165626525879,6.618061542510986,17.586997985839844,17.654327392578125,-0.0,-0.0,-0.0,-0.0,off
14.3,15.418503761291504,-5.356446266174316,6.614845275878906,17.61186981201172,17.650033950805664,-0.0,-0.0,-0.0,-0.0,off
14.32,15.429045677185059,-5.262343406677246,6.618917465209961,17.594253540039062,17.644336700439453,-0.0,-0.0,-0.0,-0.0,off
14.34,15.443668365478516,-5.267107009887695,6.608426570892334,17.604562759399414,17.6402645111084,-0.0,-0.0,-0.0,-0.0,off
14.36,15.454713821411133,-5.254729270935059,6.596686840057373,17.60615348815918,17.636762619018555,-0.0,-0.0,-0.0,-0.0,off
14.38,15.442485809326172,-5.233836650848389,6.59730863571167,17.589426040649414,17.631940841674805,0.0,-0.0,-0.0,0.0,off
14.4,15.445125579833984,-5.232231140136719,6.593056678771973,17.589672088623047,17.627641677856445,-0.0,-0.0,-0.0,-0.0,off
14.42,15.441940307617188,-5.195405006408691,6.599209785461426,17.578262329101562,17.62261390686035,-0.0,0.0,-0.0,-0.0,off
14.44,15.44258975982666,-5.1374616622924805,6.612602233886719,17.566831588745117,17.616907119750977,-0.0,-0.0,-0.0,-0.0,off
14.46,15.424622535705566,-5.166182994842529,6.613226890563965,17.559703826904297,17.611112594604492,-0.0,-0.0,-0.0,-0.0,off
14.48,15.410013198852539,-5.133543491363525,6.631232261657715,17.54408836364746,17.60432243347168,-0.0,-0.0,-0.0,-0.0,off
14.5,15.40832805633545,-5.110273361206055,6.63350772857666,17.536672592163086,17.59746551513672,0.0,0.0,-0.0,0.0,off
14.52,15.430648803710938,-5.037968635559082,6.640074253082275,17.53786277770996,17.591352462768555,-0.0,-0.0,-0.0,-0.0,off
14.540000000000001,15.434432983398438,-5.014581680297852,6.650843620300293,17.538570404052734,17.585918426513672,-0.0,-0.0,-0.0,-0.0,off
14.56,15.436250686645508,-5.032728672027588,6.648211479187012,17.544368743896484,17.58165740966797,-0.0,-0.0,-0.0,-0.0,off
14.58,15.408023834228516,-5.07011604309082,6.663458824157715,17.536104202270508,17.577045440673828,-0.0,-0.0,-0.0,-0.0,off
14.6,15.431854248046875,-4.90187931060791,6.679932117462158,17.515480041503906,17.57065773010254,-0.0,-0.0,-0.0,-0.0,off
14.620000000000001,15.413494110107422,-4.920469284057617,6.678164005279541,17.503849029541016,17.563817977905273,-0.0,-0.0,-0.0,-0.0,off
14.64,15.430651664733887,-4.904658794403076,6.665152072906494,17.509567260742188,17.558246612548828,-0.0,-0.0,-0.0,-0.0,off
14.66,15.424354553222656,-4.896367073059082,6.666682720184326,17.50227928161621,17.55252456665039,-0.0,-0.0,-0.0,-0.0,off
14.68,15.414483070373535,-4.836455821990967,6.676144123077393,17.48051643371582,17.545154571533203,-0.0,-0.0,-0.0,-0.0,off
14.700000000000001,15.395984649658203,-4.854883193969727,6.666295051574707,17.465557098388672,17.53708267211914,-0.0,-0.0,-0.0,-0.0,off
14.72,15.395410537719727,-4.800605773925781,6.6700968742370605,17.451494216918945,17.528377532958984,-0.0,-0.0,-0.0,-0.0,off
14.74,15.373546600341797,-4.824653625488281,6.681272029876709,17.443124771118164,17.519756317138672,-0.0,-0.0,-0.0,-0.0,off
14.76,15.382190704345703,-4.798614978790283,6.685865879058838,17.445323944091797,17.512208938598633,-0.0,-0.0,-0.0,-0.0,off
14.780000000000001,15.3831787109375,-4.791337966918945,6.677935600280762,17.4411563873291,17.505016326904297,-0.0,0.0,-0.0,-0.0,off
14.8,15.381068229675293,-4.755802631378174,6.6852312088012695,17.432361602783203,17.49764633178711,-0.0,-0.0,-0.0,-0.0,off
14.82,15.418136596679688,-4.693945407867432,6.67207145690918,17.443296432495117,17.492053985595703,-0.0,-0.0,-0.0,-0.0,off
14.84,15.420734405517578,-4.690032005310059,6.665695667266846,17.442102432250977,17.486928939819336,-0.0,-0.0,-0.0,-0.0,off
14.86,15.445695877075195,-4.640923500061035,6.6552839279174805,17.44707679748535,17.48277473449707,-0.0,-0.0,-0.0,-0.0,off
14.88,15.434318542480469,-4.629720687866211,6.651120662689209,17.432437896728516,17.477596282958984,-0.0,-0.0,-0.0,-0.0,off
14.9,15.407402038574219,-4.5745439529418945,6.658745288848877,17.396936416625977,17.46935272216797,-0.0,-0.0,-0.0,-0.0,off
14.92,15.380928039550781,-4.603676795959473,6.669404029846191,17.385272979736328,17.460838317871094,-0.0,-0.0,-0.0,-0.0,off
14.94,15.379631042480469,-4.592353820800781,6.684460639953613,17.386913299560547,17.453346252441406,-0.0,0.0,-0.0,-0.0,off
14.96,15.378974914550781,-4.5540056228637695,6.691253662109375,17.37885856628418,17.445777893066406,-0.0,0.0,-0.0,-0.0,off
14.98,15.367630958557129,-4.5366950035095215,6.683355808258057,17.361248016357422,17.43721580505371,-0.0,-0.0,-0.0,-0.0,off
15.0,15.37901496887207,-4.521908760070801,6.691678524017334,17.37067413330078,17.43045425415039,-0.0,-0.0,-0.0,-0.0,off
15.02,15.395306587219238,-4.490322589874268,6.687506198883057,17.37530517578125,17.42481803894043,-0.0,-0.0,-0.0,-0.0,off
15.040000000000001,15.393774032592773,-4.460204124450684,6.686470031738281,17.365787506103516,17.418787002563477,-0.0,-0.0,-0.0,-0.0,off
15.06,15.380378723144531,-4.461337089538574,6.681558609008789,17.352313995361328,17.41204071044922,-0.0,-0.0,-0.0,-0.0,off
15.08,15.38780403137207,-4.420516014099121,6.677875995635986,17.347030639648438,17.40541648864746,-0.0,-0.0,-0.0,-0.0,off
15.1,15.379414558410645,-4.448843955993652,6.672374248504639,17.344715118408203,17.399276733398438,-0.0,-0.0,-0.0,-0.0,off
15.120000000000001,15.373486518859863,-4.394778728485107,6.681243419647217,17.329084396362305,17.392152786254883,-0.0,-0.0,-0.0,-0.0,off
15.14,15.373493194580078,-4.404284954071045,6.691895484924316,17.335613250732422,17.38642120361328,-0.0,-0.0,-0.0,-0.0,off
15.16,15.372004508972168,-4.3647141456604,6.703219413757324,17.328659057617188,17.380542755126953,-0.0,-0.0,-0.0,-0.0,off
15.18,15.374207496643066,-4.337582111358643,6.709259510040283,17.32613754272461,17.3749942779541,-0.0,-0.0,-0.0,-0.0,off
15.200000000000001,15.364583015441895,-4.352558135986328,6.70005464553833,17.317790985107422,17.36920166015625,-0.0,-0.0,-0.0,-0.0,off
15.22,15.388296127319336,-4.404126167297363,6.6674089431762695,17.339271545410156,17.366182327270508,-0.0,0.0,-0.0,-0.0,off
15.24,15.387306213378906,-4.33423376083374,6.684299945831299,17.327280044555664,17.362224578857422,-0.0,-0.0,-0.0,-0.0,off
15.26,15.390679359436035,-4.274748802185059,6.694850444793701,17.319570541381836,17.357852935791016,-0.0,-0.0,-0.0,-0.0,off
15.280000000000001,15.377120018005371,-4.226691722869873,6.70035982131958,17.297849655151367,17.351716995239258,-0.0,-0.0,-0.0,-0.0,off
15.3,15.381009101867676,-4.160970687866211,6.701986789703369,17.285999298095703,17.34495735168457,-0.0,-0.0,-0.0,-0.0,off
15.32,15.369194030761719,-4.142024040222168,6.716534614562988,17.276582717895508,17.337942123413086,-0.0,-0.0,-0.0,-0.0,off
15.34,15.36046028137207,-4.127841472625732,6.719861030578613,17.266712188720703,17.330659866333008,-0.0,-0.0,-0.0,-0.0,off
15.36,15.37629508972168,-4.087283134460449,6.714977741241455,17.269258499145508,17.324337005615234,-0.0,-0.0,-0.0,-0.0,off
15.38,15.368642807006836,-4.104700088500977,6.71493673324585,17.26656150817871,17.31843376159668,-0.0,-0.0,-0.0,-0.0,off
15.4,15.357385635375977,-4.082501411437988,6.729979991912842,17.25713539123535,17.312177658081055,-0.0,-0.0,-0.0,-0.0,off
15.42,15.35550594329834,-4.002137184143066,6.741063117980957,17.240957260131836,17.304853439331055,-0.0,-0.0,-0.0,-0.0,off
15.44,15.343194961547852,-4.016132831573486,6.7329277992248535,17.23006820678711,17.29723358154297,-0.0,-0.0,-0.0,-0.0,off
15.46,15.354235649108887,-3.9745237827301025,6.738064765930176,17.232263565063477,17.290569305419922,-0.0,-0.0,-0.0,-0.0,off
15.48,15.344560623168945,-3.9403076171875,6.740574836730957,17.21676254272461,17.28301239013672,-0.0,-0.0,-0.0,-0.0,off
15.5,15.330256462097168,-3.910796642303467,6.770167827606201,17.208900451660156,17.275413513183594,-0.0,-0.0,-0.0,-0.0,off
15.52,15.329585075378418,-3.8821349143981934,6.777821063995361,17.204824447631836,17.268163681030273,-0.0,-0.0,-0.0,-0.0,off
15.540000000000001,15.33424186706543,-3.85943865776062,6.76810884475708,17.200044631958008,17.261171340942383,-0.0,-0.0,-0.0,-0.0,off
15.56,15.337258338928223,-3.855393171310425,6.764909267425537,17.20056915283203,17.254961013793945,-0.0,-0.0,-0.0,-0.0,off
15.58,15.347918510437012,-3.7944393157958984,6.775999069213867,17.20088768005371,17.249351501464844,0.0,-0.0,-0.0,0.0,off
15.6,15.35452651977539,-3.787731885910034,6.773951053619385,17.204500198364258,17.24468994140625,0.0,-0.0,-0.0,0.0,off
15.620000000000001,15.332352638244629,-3.7554867267608643,6.786654949188232,17.182647705078125,17.238306045532227,-0.0,0.0,-0.0,-0.0,off
